nbRelations; relationArity; nbConstraints; constraintSize; visibleRelations; nbKeyConstraints; initialSchemaSize; finalSchemaSize; time (ms); nbCycles; biggestCycle
200; 8; 30; 1; 0.5; 81; 108; 140; 12; 2; 1
200; 8; 30; 1; 0.5; 81; 105; 685; 1942; 1; 5
200; 8; 30; 1; 0.5; 81; 91; 106; 1; 0; 0
200; 8; 30; 1; 0.5; 81; 102; 137; 2; 1; 1
200; 8; 30; 1; 0.5; 81; 93; 178; 7; 3; 8
200; 8; 30; 1; 0.5; 81; 101; 396; 186; 4; 3
200; 8; 30; 1; 0.5; 81; 109; 207; 7; 2; 2
200; 8; 30; 1; 0.5; 81; 103; 202; 7; 1; 2
200; 8; 30; 1; 0.5; 81; 111; 203; 7; 1; 1
200; 8; 30; 1; 0.5; 81; 107; 288; 147; 3; 5
;;;;;;;;;;
nbRelations; relationArity; nbConstraints; constraintSize; visibleRelations; nbKeyConstraints; initialSchemaSize; finalSchemaSize; time (ms); nbCycles; biggestCycle
200; 8; 30; 1; 0.5; 81; 111; 215; 64; 1; 2
200; 8; 30; 1; 0.5; 81; 94; 128; 5; 1; 1
200; 8; 30; 1; 0.5; 81; 100; 115; 1; 0; 0
200; 8; 30; 1; 0.5; 81; 105; 162; 7; 1; 1
200; 8; 30; 1; 0.5; 81; 100; 201; 30; 5; 3
200; 8; 30; 1; 0.5; 81; 92; 138; 3; 1; 1
200; 8; 30; 1; 0.5; 81; 97; 138; 3; 1; 1
200; 8; 30; 1; 0.5; 81; 90; 104; 1; 0; 0
200; 8; 30; 1; 0.5; 81; 98; 113; 2; 0; 0
200; 8; 30; 1; 0.5; 81; 92; 131; 3; 2; 1
;;;;;;;;;;
nbRelations; relationArity; nbConstraints; constraintSize; visibleRelations; nbKeyConstraints; initialSchemaSize; finalSchemaSize; time (ms); nbCycles; biggestCycle
200; 8; 30; 1; 0.5; 81; 90; 129; 11; 1; 2
200; 8; 30; 1; 0.5; 81; 94; 120; 5; 3; 4
200; 8; 30; 1; 0.5; 81; 111; 207; 23; 1; 1
200; 8; 30; 1; 0.5; 81; 97; 196; 39; 1; 2
200; 8; 30; 1; 0.5; 81; 92; 106; 1; 0; 0
200; 8; 30; 1; 0.5; 81; 103; 255; 131; 4; 6
200; 8; 30; 1; 0.5; 81; 111; 206; 29; 2; 2
200; 8; 30; 1; 0.5; 81; 116; 182; 7; 1; 2
200; 8; 30; 1; 0.5; 81; 100; 161; 6; 3; 2
200; 8; 30; 1; 0.5; 81; 115; 174; 9; 2; 1
;;;;;;;;;;
nbRelations; relationArity; nbConstraints; constraintSize; visibleRelations; nbKeyConstraints; initialSchemaSize; finalSchemaSize; time (ms); nbCycles; biggestCycle
200; 8; 30; 1; 0.5; 81; 91; 238; 147; 4; 3
200; 8; 30; 1; 0.5; 81; 104; 179; 12; 1; 2
200; 8; 30; 1; 0.5; 81; 98; 150; 7; 1; 1
200; 8; 30; 1; 0.5; 81; 100; 164; 7; 1; 1
200; 8; 30; 1; 0.5; 81; 98; 176; 11; 1; 4
200; 8; 30; 1; 0.5; 81; 87; 124; 3; 1; 2
200; 8; 30; 1; 0.5; 81; 102; 263; 91; 4; 4
200; 8; 30; 1; 0.5; 81; 95; 109; 1; 0; 0
200; 8; 30; 1; 0.5; 81; 101; 123; 2; 2; 1
200; 8; 30; 1; 0.5; 81; 98; 233; 31; 2; 4
;;;;;;;;;;
nbRelations; relationArity; nbConstraints; constraintSize; visibleRelations; nbKeyConstraints; initialSchemaSize; finalSchemaSize; time (ms); nbCycles; biggestCycle
200; 8; 30; 1; 0.5; 81; 96; 142; 12; 1; 2
200; 8; 30; 1; 0.5; 81; 102; 150; 7; 1; 4
200; 8; 30; 1; 0.5; 81; 89; 113; 1; 1; 3
200; 8; 30; 1; 0.5; 81; 101; 193; 36; 1; 4
200; 8; 30; 1; 0.5; 81; 104; 159; 9; 1; 1
200; 8; 30; 1; 0.5; 81; 105; 204; 19; 1; 6
200; 8; 30; 1; 0.5; 81; 97; 143; 5; 1; 1
200; 8; 30; 1; 0.5; 81; 92; 135; 5; 1; 1
200; 8; 30; 1; 0.5; 81; 100; 141; 4; 2; 1
200; 8; 30; 1; 0.5; 81; 107; 144; 3; 1; 1
;;;;;;;;;;
nbRelations; relationArity; nbConstraints; constraintSize; visibleRelations; nbKeyConstraints; initialSchemaSize; finalSchemaSize; time (ms); nbCycles; biggestCycle
200; 8; 30; 1; 0.5; 81; 90; 115; 8; 1; 1
